Pig,Plate,WellPosition,SampleName,Group,Group2,Replicate,Treatment,Treatment2,Timepoint,Time ,CT,CtMean,CtSD,Quantity,QuantityMean,QuantitySD,TotalBacteria,TotalMeanBacteria,WellPositionP,SampleNameP,CTp,CtMeanP,CtPSD,QuantityP,QuantityMeanP,QuantitySDP,ViableBacteria,ViableMeanBacteria,DeltaCT,PercentLive
1,Plate1,C9,Base-1,Baseline,Baseline,1,Baseline,Baseline,Baseline,-12.00,23.30,23.59,0.25,13.95,11.28,0.22,83718.00,67656.00,C12,BaseP-1,22.36,22.50,0.14,28.01,25.26,0.26,168060.00,151548.00,-1.09,2.24
1,Plate1,C10,Base-1,Baseline,Baseline,1,Baseline,Baseline,Baseline,-12.00,23.75,23.59,0.25,9.98,11.28,0.22,59886.00,67656.00,C13,BaseP-1,22.65,22.50,0.14,22.72,25.26,0.26,136326.00,151548.00,-1.09,2.24
1,Plate1,C11,Base-1,Baseline,Baseline,1,Baseline,Baseline,Baseline,-12.00,23.71,23.59,0.25,10.29,11.28,0.22,61764.00,67656.00,C14,BaseP-1,22.50,22.50,0.14,25.32,25.26,0.26,151908.00,151548.00,-1.09,2.24
1,Plate1,D9,Base-2,Baseline,Baseline,2,Baseline,Baseline,Baseline,-12.00,23.67,23.94,0.23,10.59,8.72,0.16,63558.00,52320.00,D12,BaseP-2,23.19,23.44,0.28,15.20,12.64,0.25,91188.00,75852.00,-0.50,1.45
1,Plate1,D10,Base-2,Baseline,Baseline,2,Baseline,Baseline,Baseline,-12.00,24.07,23.94,0.23,7.91,8.72,0.16,47466.00,52320.00,D13,BaseP-2,23.39,23.44,0.28,13.11,12.64,0.25,78660.00,75852.00,-0.50,1.45
1,Plate1,D11,Base-2,Baseline,Baseline,2,Baseline,Baseline,Baseline,-12.00,24.07,23.94,0.23,7.91,8.72,0.16,47466.00,52320.00,D14,BaseP-2,23.73,23.44,0.28,10.14,12.64,0.25,60840.00,75852.00,-0.50,1.45
1,Plate1,E9,Base-3,Baseline,Baseline,3,Baseline,Baseline,Baseline,-12.00,23.59,23.67,0.25,11.26,10.59,0.19,67566.00,63540.00,E12,BaseP-3,22.53,22.42,0.20,24.69,26.81,0.42,148146.00,160842.00,-1.25,2.53
1,Plate1,E10,Base-3,Baseline,Baseline,3,Baseline,Baseline,Baseline,-12.00,23.48,23.67,0.25,12.28,10.59,0.19,73680.00,63540.00,E13,BaseP-3,22.54,22.42,0.20,24.50,26.81,0.42,147012.00,160842.00,-1.25,2.53
1,Plate1,E11,Base-3,Baseline,Baseline,3,Baseline,Baseline,Baseline,-12.00,23.96,23.67,0.25,8.59,10.59,0.19,51528.00,63540.00,E14,BaseP-3,22.19,22.42,0.20,31.84,26.81,0.42,191058.00,160842.00,-1.25,2.53
1,Plate1,F9,W-PB-1,Water-0hr,Water-0hr,1,Water,Water,0hr,0.00,15.28,15.65,0.33,5422.07,4094.51,107.57,32532420.00,24567060.00,F12,Wp-PB-1,15.37,15.49,0.14,5073.10,4637.24,48.48,30438600.00,27823440.00,-0.17,1.13
1,Plate1,F10,W-PB-1,Water-0hr,Water-0hr,1,Water,Water,0hr,0.00,15.85,15.65,0.33,3547.78,4094.51,107.57,21286680.00,24567060.00,F13,Wp-PB-1,15.45,15.49,0.14,4767.51,4637.24,48.48,28605060.00,27823440.00,-0.17,1.13
1,Plate1,F11,W-PB-1,Water-0hr,Water-0hr,1,Water,Water,0hr,0.00,15.84,15.65,0.33,3568.49,4094.51,107.57,21410940.00,24567060.00,F14,Wp-PB-1,15.64,15.49,0.14,4123.01,4637.24,48.48,24738060.00,27823440.00,-0.17,1.13
1,Plate1,G9,W-PB-2,Water-0hr,Water-0hr,2,Water,Water,0hr,0.00,17.17,17.31,0.21,1323.98,1195.31,17.95,7943880.00,7171860.00,G12,Wp-PB-2,16.54,17.38,1.18,2115.46,1139.83,106.11,12692760.00,6838980.00,0.06,0.95
1,Plate1,G10,W-PB-2,Water-0hr,Water-0hr,2,Water,Water,0hr,0.00,17.21,17.31,0.21,1292.10,1195.31,17.95,7752600.00,7171860.00,G14,Wp-PB-2,18.21,17.38,1.18,614.15,1139.83,106.11,3684912.00,6838980.00,0.06,0.95
1,Plate1,G11,W-PB-2,Water-0hr,Water-0hr,2,Water,Water,0hr,0.00,17.55,17.31,0.21,998.32,1195.31,17.95,5989890.00,7171860.00,,,,,,,,,,,,
1,Plate1,H9,W-PB-3,Water-0hr,Water-0hr,3,Water,Water,0hr,0.00,18.69,18.79,0.12,428.19,397.10,3.41,2569134.00,2382600.00,H12,Wp-PB-3,17.62,18.11,0.43,953.45,659.97,23.34,5720706.00,3959808.00,-0.68,1.66
1,Plate1,H10,W-PB-3,Water-0hr,Water-0hr,3,Water,Water,0hr,0.00,18.92,18.79,0.12,361.10,397.10,3.41,2166612.00,2382600.00,H13,Wp-PB-3,18.38,18.11,0.43,542.06,659.97,23.34,3252384.00,3959808.00,-0.68,1.66
1,Plate1,H11,W-PB-3,Water-0hr,Water-0hr,3,Water,Water,0hr,0.00,18.77,18.79,0.12,404.98,397.10,3.41,2429880.00,2382600.00,H14,Wp-PB-3,18.34,18.11,0.43,556.19,659.97,23.34,3337116.00,3959808.00,-0.68,1.66
1,Plate1,I9,W-24-1,Water-24hr,Water-24hr,1,Water,Water,24hr,24.00,17.09,17.31,0.20,1412.00,1198.34,18.21,8472000.00,7190040.00,I12,Wp-24-1,17.67,17.68,0.02,913.67,906.27,1.04,5482044.00,5437638.00,0.38,0.76
1,Plate1,I10,W-24-1,Water-24hr,Water-24hr,1,Water,Water,24hr,24.00,17.47,17.31,0.20,1063.52,1198.34,18.21,6381120.00,7190040.00,I14,Wp-24-1,17.69,17.68,0.02,898.93,906.27,1.04,5393592.00,5437638.00,0.38,0.76
1,Plate1,I11,W-24-1,Water-24hr,Water-24hr,1,Water,Water,24hr,24.00,17.37,17.31,0.20,1145.94,1198.34,18.21,6875640.00,7190040.00,,,,,,,,,,,,
1,Plate1,J9,W-24-2,Water-24hr,Water-24hr,2,Water,Water,24hr,24.00,13.24,13.26,0.12,24636.13,24232.23,220.67,147816780.00,145393380.00,J12,Wp-24-2,14.10,14.30,0.31,13020.56,11200.34,243.49,78123360.00,67202040.00,1.04,0.46
1,Plate1,J10,W-24-2,Water-24hr,Water-24hr,2,Water,Water,24hr,24.00,13.15,13.26,0.12,26320.61,24232.23,220.67,157923660.00,145393380.00,J13,Wp-24-2,14.14,14.30,0.31,12561.47,11200.34,243.49,75368820.00,67202040.00,1.04,0.46
1,Plate1,J11,W-24-2,Water-24hr,Water-24hr,2,Water,Water,24hr,24.00,13.39,13.26,0.12,21943.82,24232.23,220.67,131662920.00,145393380.00,J14,Wp-24-2,14.66,14.30,0.31,8590.61,11200.34,243.49,51543660.00,67202040.00,1.04,0.46
1,Plate1,K9,W-24-3,Water-24hr,Water-24hr,3,Water,Water,24hr,24.00,13.79,13.87,0.18,16402.39,15440.88,204.31,98414340.00,92645280.00,K12,Wp-24-3,15.07,15.14,0.10,6320.22,5979.38,42.57,37921320.00,35876280.00,1.28,0.39
1,Plate1,K10,W-24-3,Water-24hr,Water-24hr,3,Water,Water,24hr,24.00,13.74,13.87,0.18,17002.62,15440.88,204.31,102015720.00,92645280.00,K13,Wp-24-3,15.25,15.14,0.10,5509.08,5979.38,42.57,33054480.00,35876280.00,1.28,0.39
1,Plate1,K11,W-24-3,Water-24hr,Water-24hr,3,Water,Water,24hr,24.00,14.08,13.87,0.18,13200.60,15440.88,204.31,79203600.00,92645280.00,K14,Wp-24-3,15.11,15.14,0.10,6139.82,5979.38,42.57,36838920.00,35876280.00,1.28,0.39
